ano,trimestre,instituicao,irregularidade,reclamacoes_procedentes,reclamacoes_total
2017,2º,ABC-BRASIL (conglomerado),Descumprimento contratual,0.0,1.0
2017,2º,ABC-BRASIL (conglomerado),Insatisfação com o atendimento prestado por agências,0.0,1.0
2017,2º,AGIPLAN (conglomerado),Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento,1.0,3.0
2017,2º,AGIPLAN (conglomerado),Ausência de título adequado relativo a cartão de crédito consignado,2.0,5.0
2017,2º,AGIPLAN (conglomerado),Bloqueio de cartão de crédito,0.0,1.0
2017,2º,AGIPLAN (conglomerado),Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável),0.0,1.0
2017,2º,AGIPLAN (conglomerado),Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável,0.0,4.0
2017,2º,AGIPLAN (conglomerado),Cancelamento de contrato a pedido do cliente não atendido,2.0,5.0
2017,2º,AGIPLAN (conglomerado),Cobranças diversas,0.0,1.0
2017,2º,AGIPLAN (conglomerado),Cobranças diversas em operação de crédito consignado,0.0,9.0
2017,2º,AGIPLAN (conglomerado),Concessão de crédito (exceto consignado) sem a formalização do título adequado,0.0,3.0
2017,2º,AGIPLAN (conglomerado),Concessão de crédito consignado sem a formalização do título adequado,7.0,13.0
2017,2º,AGIPLAN (conglomerado),Descumprimento contratual,0.0,4.0
2017,2º,AGIPLAN (conglomerado),Descumprimento de prazo de resposta da reclamação registrada no BCB,3.0,6.0
2017,2º,AGIPLAN (conglomerado),Encaminhamento de instrumentos de pagamento não solicitados,0.0,1.0
2017,2º,AGIPLAN (conglomerado),Golpe,0.0,1.0
2017,2º,AGIPLAN (conglomerado),Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional),0.0,1.0
2017,2º,AGIPLAN (conglomerado),Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB,4.0,8.0
2017,2º,AGIPLAN (conglomerado),Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento,0.0,4.0
2017,2º,AGIPLAN (conglomerado),Insatisfação com o atendimento prestado por agências,0.0,3.0
2017,2º,AGIPLAN (conglomerado),Irregularidades no processo de encerramento de conta de depósitos à vista,1.0,1.0
2017,2º,AGIPLAN (conglomerado),Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado,5.0,8.0
2017,2º,AGIPLAN (conglomerado),"Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.",9.0,13.0
2017,2º,AGIPLAN (conglomerado),"Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário",1.0,2.0
2017,2º,AGIPLAN (conglomerado),Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado,2.0,5.0
2017,2º,AGIPLAN (conglomerado),Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito,2.0,3.0
2017,2º,AGIPLAN (conglomerado),Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural),2.0,2.0
2017,2º,AGIPLAN (conglomerado),"Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada",1.0,3.0
2017,2º,AGIPLAN (conglomerado),Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR),0.0,1.0
2017,2º,AGIPLAN (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking e ATMe serviços",3.0,18.0
2017,2º,AGIPLAN (conglomerado),Juros,0.0,3.0
2017,2º,AGIPLAN (conglomerado),Não liberação de margem consignável - Cartão de crédito consignável,0.0,4.0
2017,2º,AGIPLAN (conglomerado),Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada,1.0,1.0
2017,2º,AGIPLAN (conglomerado),Outros assuntos não regulados relacionados a cartão de crédito,0.0,3.0
