ano,trimestre,categoria,tipo,instituicao,indice,reclamacoes_procedentes,reclamacoes_total,total_clientes
2017,2º,Menos de quatro milhões de clientes,Conglomerado,ABC-BRASIL (conglomerado),,0.0,2.0,15602.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,AGIPLAN (conglomerado),130.84,47.0,169.0,359217.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,1.0,2.0,186769.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,ALFA (conglomerado),50.99,24.0,89.0,470652.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,"AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,4.0,181479.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO A.J. RENNER S.A.,,0.0,4.0,109329.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO ARBI S.A.,,1.0,2.0,6084.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.,,0.0,1.0,768.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO BONSUCESSO S.A.,,1.0,77.0,30615.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO CBSS S.A.,10.67,17.0,102.0,1592248.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO CNH INDUSTRIAL CAPITAL S.A.,,0.0,3.0,26426.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO CSF S.A.,,13.0,130.0,3236030.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DA AMAZONIA S.A.,,3.0,15.0,501409.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DE LAGE LANDEN BRASIL S.A.,,0.0,1.0,43812.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.,,0.0,1.0,2272.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DO ESTADO DE SERGIPE S.A.,28.82,27.0,56.0,936662.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO DO ESTADO DO PARÁ S.A.,,7.0,53.0,659192.0
2017,2º,Mais de quatro milhões de clientes,Banco/financeira,BANCO DO NORDESTE DO BRASIL S.A.,0.0,0.0,43.0,6033876.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FIBRA S.A.,,4.0,22.0,173999.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FIDIS S/A,,0.0,3.0,3787.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO FORD S.A.,,0.0,1.0,347.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO NEON S.A.,,4.0,21.0,80061.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO PORTO REAL DE INVESTIMENTOS S.A,,0.0,1.0,50.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO RABOBANK INTERNATIONAL BRASIL S.A.,,0.0,1.0,3954.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO SEMEAR S.A.,,0.0,5.0,448857.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOPÁZIO S.A.,,0.0,7.0,22514.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TOYOTA DO BRASIL S.A.,,1.0,12.0,134647.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,BANCO TRIANGULO S.A.,,12.0,24.0,1328097.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BANCOOB (conglomerado),,4.0,57.0,1862163.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BANESTES (conglomerado),13.73,18.0,35.0,1310617.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BANIF (conglomerado),,0.0,5.0,1306.0
2017,2º,Mais de quatro milhões de clientes,Conglomerado,BANRISUL (conglomerado),15.86,71.0,504.0,4474462.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BARIGUI (conglomerado),,4.0,13.0,32008.0
2017,2º,Mais de quatro milhões de clientes,Conglomerado,BB (conglomerado),21.71,1298.0,8272.0,59776953.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BMG (conglomerado),47.75,167.0,1057.0,3496999.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BMW (conglomerado),,0.0,2.0,17244.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BNP PARIBAS (conglomerado),56.93,159.0,1103.0,2792641.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BNY MELLON (conglomerado),,0.0,1.0,1709.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BOFA MERRILL LYNCH (conglomerado),,0.0,1.0,1396.0
2017,2º,Mais de quatro milhões de clientes,Conglomerado,BRADESCO (conglomerado),24.45,2264.0,9855.0,92585594.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BRB (conglomerado),60.09,50.0,314.0,832078.0
2017,2º,Menos de quatro milhões de clientes,Conglomerado,BTG PACTUAL (conglomerado),,0.0,2.0,85937.0
2017,2º,Mais de quatro milhões de clientes,Conglomerado,CAIXA ECONÔMICA FEDERAL (conglomerado),29.11,2488.0,11962.0,85458741.0
2017,2º,Menos de quatro milhões de clientes,Banco/financeira,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",,0.0,1.0,30175.0
